La Costa;77756;;;;;https://lacosta.gob.ar/;https://prensa.lacosta.gob.ar/;https://prensa.lacosta.gob.ar/feed/;@MuniLaCosta;;;https://www.youtube.com/channel/UCwd1cuDJtYlT-1lX2gfE95w;https://www.facebook.com/prensam;Juan Pablo de Jesús;;;FpV;;;;;https://www.youtube.com/channel/UCwd1cuDJtYlT-1lX2gfE95w
La Matanza;2233860;;;;;https://www.lamatanza.gov.ar/;https://www.lamatanza.gov.ar/noticias;;;;;https://www.youtube.com/user/LaMatanzaCrece;https://www.facebook.com/municipiodelamatanza;Verónica Magario;;;FpV;@magariovero;;https://www.facebook.com/magariovero/;;
La Plata;708733;;;;;https://www.laplata.gov.ar/#/;https://www.laplata.gov.ar/#/noticias;;@LaPlataMLP;;;https://www.youtube.com/channel/UCTUfkz8mYYYxyFJLrTSXGAQ;https://www.facebook.com/MunicipalidadDeLaPlata/?fref=ts;Julio Garro;;;Cambiemos;;;;;
Lanús;462895;;;;;http://www.lanus.gob.ar/;http://www.lanus.gob.ar/noticias;;@lanusmunicipio;https://www.instagram.com/lanusmunicipio/;https://rss.app/feeds/EHXDtWUxnFt1IH8J.xml;https://www.youtube.com/channel/UCrrwJJxGnbXv0fxcEXJ8XBQ;https://www.facebook.com/LanusMunicipio;Néstor Grindetti;;;Cambiemos;;;;;
Laprida;10847;;;;;http://www.laprida.gov.ar/ , ;;;;https://www.instagram.com/lapridagobiernomunicipal/;no tiene publicaciones;https://www.youtube.com/channel/UCTvh6acIK-ui7oMoNvg88_w;https://www.facebook.com/lapridagobiernomunicipal/;Alfredo Fisher;;;FpV;;;;;
Las Flores;24355;;;;;https://www.lasflores.gob.ar/;https://www.lasflores.gob.ar/?q=novedades;;@lasfloresmun;;;https://www.youtube.com/channel/UCit2vXg4yB9yEM5UCk2Am0w;https://www.facebook.com/lasfloresmun/;Ramón Canosa;;;Cambiemos;;;;;
Leandro N. Alem;17396;;;;;http://www.municipioalem.com/;http://www.municipioalem.com/category/noticias/;http://www.municipioalem.com/feed/;@MunicipioAlem;https://www.instagram.com/municipioalem/;https://rss.app/feeds/qpqkfDegLmmi66pk.xml;;https://www.facebook.com/municipioleandroalem;Alberto Conocchiari;;;FpV;;;;;
Lezama;6259;;;;;https://www.lezama.gov.ar/;https://www.lezama.gov.ar/?q=novedades;;@LezamaMunicipio;https://www.instagram.com/lezama.gov.ar/;https://rss.app/feeds/SI4lAVX6Tyj5cF5J.xml;;https://www.facebook.com/MunicipalidaddeLezama/;Arnaldo Harispe;;;Cambiemos;;;;;
Lincoln;42302;;;;;https://www.lincoln.gob.ar/;https://www.lincoln.gob.ar/?q=novedades;;@lincolnciudad;;;https://www.youtube.com/channel/UCYJTEHwR82jkYbE2pEbgxIQ;https://www.facebook.com/MuniLincoln/;Salvador Ignacio Serenal;;;Cambiemos;;;;;
Lobería;18224;;;;;https://www.loberia.gov.ar/;;;@MuniLoberia;;;;https://www.facebook.com/municipalidadloberia/;Juan José Fioramonti;;;Cambiemos;;;;;
Lobos;39573;;;;;https://www.lobos.gob.ar/;https://www.lobos.gob.ar/?q=novedades;;@MunicipioLobos;;;https://www.youtube.com/channel/UCgRZ4vy7UbgPe0RD8japUcw;https://www.facebook.com/municipiolobos;Jorge Oscar Etcheverry;;;Cambiemos;;;;;
Lomas de Zamora;645880;;;;;http://www.lomasdezamora.gov.ar/;http://www.lomasdezamora.gov.ar/Noticias.aspx;;@MunicipioLdeZ;https://www.instagram.com/Municipioldz/;https://rss.app/feeds/BpaMHYTaD3p5m2BF.xml;https://www.youtube.com/c/municipiolomasdezamora;https://www.facebook.com/munilomasdezamora;Martín Insaurralde;;;PJ-FpV;;;;;
